week,bnb,bitcoin,cardano,ocean protocol,solana,fetch,uniswap,XRP,ethereum,filecoin,singularitynet,kucoin,oasis network,pancakeswap,chainlink,tezos,litecoin,polkadot,dogecoin,monero
2020-11-15,30,27,4,35,7,0,9,15,10,4,0,5,6,<1,26,16,29,11,<1,30
2020-11-22,29,31,7,26,7,0,7,42,17,4,12,6,5,<1,26,22,27,12,1,32
2020-11-29,30,25,5,19,7,0,6,22,13,4,0,4,5,<1,21,16,21,10,<1,30
2020-12-06,39,21,4,24,7,0,7,20,9,9,5,4,6,<1,18,15,19,10,<1,32
2020-12-13,34,33,5,24,7,0,8,22,13,7,10,4,2,<1,20,18,28,13,1,53
2020-12-20,31,35,5,21,6,0,9,45,13,5,6,5,5,<1,26,20,41,12,2,39
2020-12-27,40,52,9,22,8,0,12,45,23,7,7,6,6,1,34,23,51,39,3,64
2021-01-03,39,86,17,37,9,0,12,39,59,7,14,11,5,<1,50,33,100,42,6,72
2021-01-10,39,83,13,34,7,3,11,22,48,7,0,8,5,1,51,28,70,62,3,65
2021-01-17,42,50,13,39,7,5,14,20,39,7,5,8,6,1,57,29,50,77,2,54
2021-01-24,38,49,10,26,7,0,23,26,37,6,8,10,5,1,51,27,45,43,54,50
2021-01-31,43,42,25,45,8,5,29,72,45,9,14,15,5,2,50,32,53,73,41,52
2021-02-07,53,76,52,83,8,8,28,38,54,26,36,25,8,5,65,55,81,73,50,75
2021-02-14,68,76,46,71,8,0,28,36,51,16,30,25,13,12,65,45,94,94,22,100
2021-02-21,65,81,66,46,10,9,21,39,51,8,19,23,5,9,48,34,74,87,13,77
2021-02-28,58,52,66,93,9,7,19,19,34,8,18,16,7,8,41,26,49,53,8,61
2021-03-07,56,52,41,99,9,11,26,18,37,8,18,25,13,9,46,26,56,49,9,56
2021-03-14,55,52,63,63,8,14,31,17,31,28,22,33,8,15,45,24,49,46,8,62
2021-03-21,54,45,41,46,8,9,34,23,27,36,15,27,10,17,31,24,37,38,5,53
2021-03-28,60,45,35,48,11,10,38,21,35,100,23,32,12,20,37,29,43,55,6,64
2021-04-04,69,40,35,52,11,7,24,70,35,49,29,42,7,23,39,42,54,48,6,64
2021-04-11,89,53,51,63,12,10,32,100,46,35,37,43,8,26,64,44,83,53,74,84
2021-04-18,97,68,43,45,14,10,37,55,48,27,23,43,4,83,48,38,71,50,70,96
2021-04-25,76,49,44,41,22,10,32,50,48,21,20,38,7,56,42,32,55,45,32,76
2021-05-02,83,43,59,50,18,11,55,55,94,25,20,55,7,60,70,43,91,56,93,88
2021-05-09,100,58,100,52,19,5,100,48,100,24,19,83,6,100,58,42,90,62,100,91
2021-05-16,79,100,95,47,22,8,42,48,89,21,27,42,6,53,48,37,71,54,44,89
2021-05-23,73,68,56,32,15,6,27,35,70,17,35,29,7,31,45,29,58,44,27,66
2021-05-30,70,49,48,29,15,10,24,27,48,18,32,23,4,26,31,22,37,39,23,57
2021-06-06,71,53,32,21,16,7,21,21,40,12,18,18,6,25,27,25,28,30,16,51
2021-06-13,65,39,27,22,14,0,18,16,32,10,17,17,5,27,23,20,24,35,11,50
2021-06-20,67,50,28,15,13,0,16,18,39,10,12,14,6,21,25,23,28,33,17,55
2021-06-27,64,35,23,13,13,0,18,14,31,8,12,15,7,22,20,19,23,27,11,51
2021-07-04,70,30,22,16,12,0,19,13,29,6,15,21,6,27,20,16,19,24,9,44
2021-07-11,69,28,19,19,11,4,18,12,25,5,13,17,3,20,18,15,18,22,8,36
2021-07-18,68,33,19,11,12,0,14,13,29,5,9,14,5,20,18,15,21,24,9,33
2021-07-25,74,38,21,15,12,14,17,19,32,6,11,18,8,22,22,14,21,24,7,37
2021-08-01,68,33,23,17,12,8,18,15,44,7,8,20,6,21,24,18,21,32,6,39
2021-08-08,68,35,54,21,13,12,19,28,44,8,18,24,6,22,24,17,27,33,9,39
2021-08-15,69,32,60,40,35,49,18,30,36,8,15,30,5,25,24,22,29,39,10,40
2021-08-22,67,32,84,39,33,29,19,22,32,10,20,36,9,27,23,47,23,36,7,48
2021-08-29,62,27,66,27,74,35,20,23,40,10,35,34,10,28,25,54,27,43,6,42
2021-09-05,60,38,64,28,94,49,20,25,38,21,15,39,32,24,33,43,30,38,6,41
2021-09-12,60,27,62,20,68,27,18,18,28,10,22,34,16,27,23,59,32,39,5,37
2021-09-19,61,32,44,23,42,22,15,17,31,11,10,28,12,28,21,47,23,31,5,37
2021-09-26,59,28,33,12,33,11,18,15,27,13,17,28,8,23,23,38,19,27,4,33
2021-10-03,59,32,32,22,41,23,22,19,31,11,10,41,7,30,22,55,23,31,6,37
2021-10-10,64,36,31,21,38,26,26,20,33,11,18,40,10,40,24,39,25,57,6,41
2021-10-17,62,45,34,23,47,18,27,18,41,12,14,46,8,37,28,29,29,49,6,40
2021-10-24,65,37,36,27,52,26,56,20,38,13,9,82,15,69,30,33,25,43,11,42
2021-10-31,72,32,36,76,64,34,58,25,42,16,16,100,11,77,28,31,25,100,8,40
2021-11-07,69,37,42,37,77,24,49,26,46,14,11,97,10,67,33,32,49,87,7,50
2021-11-14,64,36,31,38,57,14,39,19,41,10,11,78,29,63,25,30,33,55,5,56
2021-11-21,64,35,39,46,50,15,28,17,37,11,12,77,66,56,24,24,26,45,5,49
2021-11-28,66,35,37,86,57,18,24,18,42,12,13,81,46,58,23,35,25,45,5,45
2021-12-05,63,39,31,36,48,18,20,18,37,12,7,50,32,41,26,53,26,40,5,44
2021-12-12,60,34,25,28,46,18,21,19,34,9,6,49,29,42,20,31,21,39,8,39
2021-12-19,59,32,27,39,44,21,23,22,31,10,14,47,26,39,18,25,22,45,5,39
2021-12-26,70,29,24,50,44,22,25,16,31,11,14,48,55,42,21,25,22,43,5,44
2022-01-02,84,41,28,62,61,26,28,16,39,16,11,67,49,57,38,38,22,49,5,54
2022-01-09,87,37,27,42,55,22,21,14,37,11,9,58,100,47,32,38,22,44,8,52
2022-01-16,75,40,45,37,59,24,19,13,35,12,7,47,48,46,24,30,23,39,7,52
2022-01-23,79,53,31,29,65,21,18,13,46,12,11,49,44,38,24,28,22,47,7,50
2022-01-30,79,38,27,30,60,16,17,12,38,9,8,45,33,32,22,46,22,36,5,48
2022-02-06,80,38,26,31,50,16,20,20,34,11,8,48,36,35,20,100,20,37,5,50
2022-02-13,76,31,22,18,43,15,15,16,30,9,6,40,30,31,19,44,17,30,4,51
2022-02-20,74,41,25,25,44,9,13,15,32,8,8,36,34,24,19,39,20,28,4,48
2022-02-27,70,36,20,19,40,12,13,13,28,8,7,37,28,20,19,26,18,31,3,50
2022-03-06,71,31,19,15,35,8,12,14,25,8,6,35,25,19,16,30,17,26,3,53
2022-03-13,63,29,18,19,34,9,14,13,22,10,8,33,26,18,19,31,16,26,3,47
2022-03-20,63,26,27,32,37,13,14,14,26,11,14,35,22,20,20,31,19,28,3,43
2022-03-27,60,30,26,32,51,6,17,14,29,18,14,45,21,23,22,30,18,31,3,47
2022-04-03,61,26,21,22,45,8,13,11,23,10,13,47,26,18,17,27,16,30,4,46
2022-04-10,59,25,17,22,40,6,12,12,23,9,5,38,18,16,17,22,15,27,3,50
2022-04-17,60,22,16,32,39,5,13,11,19,11,14,36,16,19,18,21,14,27,3,56
2022-04-24,58,23,17,25,42,5,12,10,18,10,9,34,24,19,17,21,13,25,5,48
2022-05-01,58,24,17,17,43,5,13,9,20,11,6,35,18,15,18,23,14,25,3,46
2022-05-08,62,54,24,21,53,6,13,13,35,11,7,72,19,16,24,25,19,31,5,51
2022-05-15,55,38,19,21,43,5,9,10,24,8,6,44,25,13,18,19,15,24,3,44
2022-05-22,58,29,15,18,38,4,9,8,22,7,5,59,19,12,15,20,14,23,3,43
2022-05-29,56,27,18,21,47,0,9,8,20,8,8,47,17,11,16,20,12,19,2,38
2022-06-05,56,24,18,25,35,4,9,8,20,7,8,32,15,10,20,18,12,19,2,34
2022-06-12,57,63,19,14,38,3,8,11,45,7,6,31,14,9,20,21,17,23,4,42
2022-06-19,56,50,16,13,39,0,9,9,30,7,0,28,14,7,15,19,14,19,4,44
2022-06-26,54,37,13,13,30,0,8,8,24,7,7,35,11,8,16,20,12,22,3,35
2022-07-03,57,33,12,15,27,4,8,7,21,6,0,31,8,7,13,19,11,19,2,35
