Timestamp, TransactionVolumeUSD, TransactionCount
2019-07-14,1629582555.832511,433764593.0
2019-07-21,1366807637.7919195,435735884.5
2019-07-28,970150766.190517,438274591.5
2019-08-04,1920024783.624162,440814689.5
2019-08-11,1162682231.9601336,442880797.0
2019-08-18,1372068559.2593,444827206.0
2019-08-25,850343010.1876444,447390014.0
2019-09-01,793777392.5092006,449970681.0
2019-09-08,2135004356.38572,451968086.0
2019-09-15,1170336237.078124,453954546.0
2019-09-22,1598660183.2465248,456547363.5
2019-09-29,2148856490.11553,459201338.5
2019-10-06,803982731.70648,461123521.0
2019-10-13,748833699.8813055,463050559.0
2019-10-20,989797131.521896,465619007.5
2019-10-27,885297878.4785982,468226059.0
2019-11-03,835182667.308342,470055810.0
2019-11-10,2113713981.1324549,471888469.0
2019-11-17,669377231.3428,474421818.0
2019-11-24,1011061298.5994544,476880711.0
2019-12-01,1128911347.2790298,478697560.0
2019-12-08,680583513.9413446,480520573.0
2019-12-15,707867130.6169496,482986173.5
2019-12-22,1445972456.62071,485450947.5
2019-12-29,769952828.3578247,487209890.0
2020-01-05,450597070.51441944,488990390.0
2020-01-12,1201632078.587125,491421248.0
2020-01-19,937201034.9003006,493943870.5
2020-01-26,812750859.471595,495819165.0
2020-02-02,1633895961.5682201,497656894.5
2020-02-09,2525054158.7303395,500227788.5
2020-02-16,1489941124.982415,502857501.5
2020-02-23,1323570453.66308,504823586.0
2020-03-01,1211828746.9879825,506735406.5
2020-03-08,1029309717.58552,509423837.5
2020-03-15,2198625451.9594803,512009389.0
2020-03-22,1246666766.874047,513610484.0
2020-03-29,773129232.6804725,515139945.5
2020-04-05,1089605803.156501,517265511.0
2020-04-12,1541286384.4576986,519481987.5
2020-04-19,764500353.7338215,521163188.0
2020-04-26,1494032591.0335798,522927188.0
2020-05-03,1576193722.1031618,525364268.0
2020-05-10,1765233955.828515,527902994.5
2020-05-17,1736521654.834455,529794208.0
2020-05-24,1443930456.1399071,531469838.5
2020-05-31,1190068032.5712614,533647284.5
2020-06-07,2243703822.764125,536009651.0
2020-06-14,1418616953.7484977,537854272.0
2020-06-21,1139373513.225488,539687372.5
2020-06-28,2070104672.56087,542157567.5
2020-07-05,978534581.2452093,544639488.0
2020-07-12,1079536649.366417,546617219.0
2020-07-19,1173207435.97219,548580842.5
2020-07-26,1266361566.9428866,551129645.0
2020-08-02,1674530808.33715,553758997.0
2020-08-09,1706127631.217165,555665915.0
2020-08-16,1555525452.3708096,557566044.0
2020-08-23,1449446566.121586,560152718.5
2020-08-30,1792800939.0272171,562698892.5
